,date,location,total_vaccinations,people_fully_vaccinated
3487,3/24/21,Florida,8396727,2938265
3536,3/25/21,Florida,8603007,3002731
3585,3/26/21,Florida,8811431,3071600
3634,3/27/21,Florida,9028641,3160502
3683,3/28/21,Florida,9271008,3248263
3732,3/29/21,Florida,9276711,3251908
3781,3/30/21,Florida,9405368,3313207
3830,3/31/21,Florida,9563326,3384591
9,1/12/21,Georgia,170571,7746
58,1/13/21,Georgia,198756,8937
107,1/14/21,Georgia,231305,
156,1/15/21,Georgia,231305,22324
205,1/16/21,Georgia,,
254,1/17/21,Georgia,,
303,1/18/21,Georgia,,
352,1/19/21,Georgia,312336,28907
401,1/20/21,Georgia,397048,35029
450,1/21/21,Georgia,453862,39972
499,1/22/21,Georgia,603486,59925
548,1/23/21,Georgia,604067,59965
597,1/24/21,Georgia,604067,59965
646,1/25/21,Georgia,604067,59965
695,1/26/21,Georgia,668589,64989
744,1/27/21,Georgia,712866,75360
793,1/28/21,Georgia,764211,89305
842,1/29/21,Georgia,810291,99941
891,1/30/21,Georgia,856746,109311
940,1/31/21,Georgia,906186,119878
989,2/1/21,Georgia,930517,125548
1038,2/2/21,Georgia,940066,129885
1087,2/3/21,Georgia,975038,140900
1136,2/4/21,Georgia,1008040,152626
1185,2/5/21,Georgia,1051622,169163
1234,2/6/21,Georgia,1098863,188736
1283,2/7/21,Georgia,1146024,210237
1332,2/8/21,Georgia,1167738,219840
1381,2/9/21,Georgia,1179950,227997
1430,2/10/21,Georgia,1223850,251946
1479,2/11/21,Georgia,1273015,279546
1528,2/12/21,Georgia,1273015,279546
1577,2/13/21,Georgia,1328795,313961
1626,2/14/21,Georgia,1437718,380394
1675,2/15/21,Georgia,,
1724,2/16/21,Georgia,1473440,402578
1773,2/17/21,Georgia,1473440,402578
1822,2/18/21,Georgia,1569216,462570
1871,2/19/21,Georgia,1720789,527556
1920,2/20/21,Georgia,1786755,568299
1969,2/21/21,Georgia,1850856,609520
2018,2/22/21,Georgia,1873683,620186
2067,2/23/21,Georgia,1880429,624352
2116,2/24/21,Georgia,1919262,649555
2165,2/25/21,Georgia,1961849,674956
2214,2/26/21,Georgia,2013769,705985
2263,2/27/21,Georgia,2070076,741138
2312,2/28/21,Georgia,2072451,742880
2361,3/1/21,Georgia,2072628,743037
2410,3/2/21,Georgia,2085047,746611
2459,3/3/21,Georgia,2133517,775586
2508,3/4/21,Georgia,2187289,805346
2557,3/5/21,Georgia,2253011,841985
2606,3/6/21,Georgia,2308087,867118
2655,3/7/21,Georgia,2366573,894327
2704,3/8/21,Georgia,2391999,904207
2753,3/9/21,Georgia,2406206,910623
2802,3/10/21,Georgia,2408998,911979
2851,3/11/21,Georgia,2483900,936451
2900,3/12/21,Georgia,2598432,979717
2949,3/13/21,Georgia,2681373,1008364
2998,3/14/21,Georgia,2754347,1033760
3047,3/15/21,Georgia,2790084,1044640
3096,3/16/21,Georgia,2810272,1048574
3145,3/17/21,Georgia,2814158,1050574
3194,3/18/21,Georgia,2906563,1082385
3243,3/19/21,Georgia,2910835,1084493
3292,3/20/21,Georgia,3113334,1138530
3341,3/21/21,Georgia,3207887,1155439
3390,3/22/21,Georgia,3280952,1171886
3439,3/23/21,Georgia,3281102,1172125
3488,3/24/21,Georgia,3362513,1191691
3537,3/25/21,Georgia,3434860,1208667
3586,3/26/21,Georgia,3530980,1229095
3635,3/27/21,Georgia,3621196,1250189
3684,3/28/21,Georgia,3711950,1267677
3733,3/29/21,Georgia,3764344,1275068
3782,3/30/21,Georgia,3786303,1280161
3831,3/31/21,Georgia,3855859,1301323
10,1/12/21,Hawaii,33483,
59,1/13/21,Hawaii,36605,
108,1/14/21,Hawaii,47985,
157,1/15/21,Hawaii,46958,7268
206,1/16/21,Hawaii,,
255,1/17/21,Hawaii,,
304,1/18/21,Hawaii,,
353,1/19/21,Hawaii,63954,11319
402,1/20/21,Hawaii,71944,13833
451,1/21/21,Hawaii,79414,16132
500,1/22/21,Hawaii,84793,16802
549,1/23/21,Hawaii,84792,16802
598,1/24/21,Hawaii,84792,16802
647,1/25/21,Hawaii,92092,17795
696,1/26/21,Hawaii,93760,17939
745,1/27/21,Hawaii,97692,18544
794,1/28/21,Hawaii,103944,19804
843,1/29/21,Hawaii,111165,21736
892,1/30/21,Hawaii,120502,23758
941,1/31/21,Hawaii,129267,25868
990,2/1/21,Hawaii,135836,27090
1039,2/2/21,Hawaii,137914,27156
1088,2/3/21,Hawaii,143686,28245
1137,2/4/21,Hawaii,151107,30573
1186,2/5/21,Hawaii,169713,33726
1235,2/6/21,Hawaii,179059,37054
1284,2/7/21,Hawaii,187048,40514
1333,2/8/21,Hawaii,194035,42472
1382,2/9/21,Hawaii,194035,42472
1431,2/10/21,Hawaii,194035,42472
1480,2/11/21,Hawaii,200618,49969
1529,2/12/21,Hawaii,208807,53976
1578,2/13/21,Hawaii,217780,58194
1627,2/14/21,Hawaii,225188,62239
1676,2/15/21,Hawaii,,
1725,2/16/21,Hawaii,237172,68688
1774,2/17/21,Hawaii,240715,69799
1823,2/18/21,Hawaii,247392,73236
1872,2/19/21,Hawaii,301369,90892
1921,2/20/21,Hawaii,312730,96971
1970,2/21/21,Hawaii,322966,102818
2019,2/22/21,Hawaii,331321,107829
2068,2/23/21,Hawaii,333599,109100
2117,2/24/21,Hawaii,339771,113081
2166,2/25/21,Hawaii,348897,117638
2215,2/26/21,Hawaii,359108,123174
2264,2/27/21,Hawaii,370746,129821
2313,2/28/21,Hawaii,382798,136943
2362,3/1/21,Hawaii,389644,141240
2411,3/2/21,Hawaii,392771,143658
2460,3/3/21,Hawaii,399195,147853
2509,3/4/21,Hawaii,411264,154495
2558,3/5/21,Hawaii,421996,159646
2607,3/6/21,Hawaii,434343,165543
2656,3/7/21,Hawaii,436036,166634
2705,3/8/21,Hawaii,452988,174927
2754,3/9/21,Hawaii,464100,179965
2803,3/10/21,Hawaii,475859,184608
2852,3/11/21,Hawaii,489283,188723
2901,3/12/21,Hawaii,503482,193632
2950,3/13/21,Hawaii,517061,199012
2999,3/14/21,Hawaii,528035,202968
3048,3/15/21,Hawaii,538235,208017
3097,3/16/21,Hawaii,546123,211174
3146,3/17/21,Hawaii,559118,215871
3195,3/18/21,Hawaii,572716,219607
3244,3/19/21,Hawaii,587465,224113
3293,3/20/21,Hawaii,599643,228167
3342,3/21/21,Hawaii,610517,231477
3391,3/22/21,Hawaii,614208,232428
3440,3/23/21,Hawaii,621720,235147
3489,3/24/21,Hawaii,632086,238370
3538,3/25/21,Hawaii,642642,242800
3587,3/26/21,Hawaii,659606,250357
3636,3/27/21,Hawaii,660902,250944
3685,3/28/21,Hawaii,662115,251645
3734,3/29/21,Hawaii,685464,259463
3783,3/30/21,Hawaii,692706,262135
3832,3/31/21,Hawaii,705568,268481
11,1/12/21,Idaho,35845,4308
60,1/13/21,Idaho,38872,5653
109,1/14/21,Idaho,42586,
158,1/15/21,Idaho,46636,8843
207,1/16/21,Idaho,,
256,1/17/21,Idaho,,
305,1/18/21,Idaho,,
354,1/19/21,Idaho,63975,10165
403,1/20/21,Idaho,69267,10738
452,1/21/21,Idaho,73372,11760
501,1/22/21,Idaho,77988,13075
550,1/23/21,Idaho,82640,13711
599,1/24/21,Idaho,87128,14059
648,1/25/21,Idaho,91271,14419
697,1/26/21,Idaho,93766,14627
746,1/27/21,Idaho,96991,15443
795,1/28/21,Idaho,102800,16724
844,1/29/21,Idaho,108873,18970
893,1/30/21,Idaho,114729,20148
942,1/31/21,Idaho,120880,21636
991,2/1/21,Idaho,124377,22468
1040,2/2/21,Idaho,126648,22725
1089,2/3/21,Idaho,132384,24171
1138,2/4/21,Idaho,141897,26345
1187,2/5/21,Idaho,159394,28970
1236,2/6/21,Idaho,176220,32011
1285,2/7/21,Idaho,185681,34322
1334,2/8/21,Idaho,195591,35910
1383,2/9/21,Idaho,198826,37002
1432,2/10/21,Idaho,205379,39608
1481,2/11/21,Idaho,214063,43231
1530,2/12/21,Idaho,214063,43231
1579,2/13/21,Idaho,221585,46516
1628,2/14/21,Idaho,242295,56629
1677,2/15/21,Idaho,,
1726,2/16/21,Idaho,263625,64687
1775,2/17/21,Idaho,270169,67805
1824,2/18/21,Idaho,278474,71408
1873,2/19/21,Idaho,304647,81497
1922,2/20/21,Idaho,313466,85566
1971,2/21/21,Idaho,326336,92265
2020,2/22/21,Idaho,336243,98837
2069,2/23/21,Idaho,340444,100979
2118,2/24/21,Idaho,346534,104666
2167,2/25/21,Idaho,356987,110960
2216,2/26/21,Idaho,367113,116397
2265,2/27/21,Idaho,378401,121491
2314,2/28/21,Idaho,392370,128072
2363,3/1/21,Idaho,404250,133284
2412,3/2/21,Idaho,409641,135920
2461,3/3/21,Idaho,418956,140583
2510,3/4/21,Idaho,428196,145396
2559,3/5/21,Idaho,442491,152239
2608,3/6/21,Idaho,457434,159634
2657,3/7/21,Idaho,471043,166775
2706,3/8/21,Idaho,482273,174479
2755,3/9/21,Idaho,489220,178260
2804,3/10/21,Idaho,497534,182275
2853,3/11/21,Idaho,507965,187365
2902,3/12/21,Idaho,522505,193479
2951,3/13/21,Idaho,536191,199911
3000,3/14/21,Idaho,550174,206561
3049,3/15/21,Idaho,559659,212093
3098,3/16/21,Idaho,566079,215214
3147,3/17/21,Idaho,566777,215734
3196,3/18/21,Idaho,586497,224667
3245,3/19/21,Idaho,603043,231173
3294,3/20/21,Idaho,622341,239114
3343,3/21/21,Idaho,639606,245010
3392,3/22/21,Idaho,650437,250274
3441,3/23/21,Idaho,656932,253930
3490,3/24/21,Idaho,666389,257701
3539,3/25/21,Idaho,678747,262073
3588,3/26/21,Idaho,694887,267877
3637,3/27/21,Idaho,710876,274190
3686,3/28/21,Idaho,728042,282222
3735,3/29/21,Idaho,736941,286879
3784,3/30/21,Idaho,740943,289287
3833,3/31/21,Idaho,752364,294187
12,1/12/21,Illinois,347005,62757
61,1/13/21,Illinois,365859,74186
110,1/14/21,Illinois,403666,
159,1/15/21,Illinois,437765,91248
208,1/16/21,Illinois,,
257,1/17/21,Illinois,,
306,1/18/21,Illinois,,
355,1/19/21,Illinois,525261,104533
404,1/20/21,Illinois,539926,107651
453,1/21/21,Illinois,570527,111933
502,1/22/21,Illinois,607502,120754
551,1/23/21,Illinois,654752,128907
600,1/24/21,Illinois,699072,135330
649,1/25/21,Illinois,723203,137465
698,1/26/21,Illinois,737989,140394
747,1/27/21,Illinois,766659,147925
796,1/28/21,Illinois,823325,162086
845,1/29/21,Illinois,884502,181063
894,1/30/21,Illinois,948804,197643
943,1/31/21,Illinois,1011454,211528
992,2/1/21,Illinois,1054814,219095
1041,2/2/21,Illinois,1073076,223026
1090,2/3/21,Illinois,1108571,230850
1139,2/4/21,Illinois,1178369,247763
1188,2/5/21,Illinois,1247521,260248
1237,2/6/21,Illinois,1329963,275276
1286,2/7/21,Illinois,1401585,288458
1335,2/8/21,Illinois,1457693,299201
1384,2/9/21,Illinois,1477780,302923
1433,2/10/21,Illinois,1539781,314687
1482,2/11/21,Illinois,1604830,330108
1531,2/12/21,Illinois,1674988,348826
1580,2/13/21,Illinois,1772568,375992
1629,2/14/21,Illinois,1854228,400340
1678,2/15/21,Illinois,,
1727,2/16/21,Illinois,1954382,422981
1776,2/17/21,Illinois,1996099,431310
1825,2/18/21,Illinois,2037388,446598
1874,2/19/21,Illinois,2174539,492551
1923,2/20/21,Illinois,2261482,527382
1972,2/21/21,Illinois,2339546,560403
2021,2/22/21,Illinois,2354395,578393
2070,2/23/21,Illinois,2416034,602595
2119,2/24/21,Illinois,2461385,623117
2168,2/25/21,Illinois,2519447,652316
2217,2/26/21,Illinois,2639826,703902
2266,2/27/21,Illinois,2735250,757754
2315,2/28/21,Illinois,2824209,806078
2364,3/1/21,Illinois,2906555,847352
2413,3/2/21,Illinois,2958947,867812
2462,3/3/21,Illinois,3022385,897827
2511,3/4/21,Illinois,3107699,939034
2560,3/5/21,Illinois,3204414,984808
2609,3/6/21,Illinois,3341021,1050701
2658,3/7/21,Illinois,3473676,1109123
2707,3/8/21,Illinois,3571808,1153941
2756,3/9/21,Illinois,3601065,1166993
2805,3/10/21,Illinois,3672596,1200821
2854,3/11/21,Illinois,3777731,1245707
2903,3/12/21,Illinois,3925271,1329918
2952,3/13/21,Illinois,4197357,1461858
3001,3/14/21,Illinois,4197470,1462024
3050,3/15/21,Illinois,4297923,1508375
3099,3/16/21,Illinois,4379055,1551538
3148,3/17/21,Illinois,4469795,1592976
3197,3/18/21,Illinois,4584510,1637747
3246,3/19/21,Illinois,4683361,1678369
3295,3/20/21,Illinois,4826260,1723407
3344,3/21/21,Illinois,4960792,1768206
3393,3/22/21,Illinois,5051382,1797959
3442,3/23/21,Illinois,5096694,1814376
3491,3/24/21,Illinois,5177472,1840517
3540,3/25/21,Illinois,5287852,1872114
3589,3/26/21,Illinois,5412272,1905926
3638,3/27/21,Illinois,5542211,1945476
3687,3/28/21,Illinois,5682011,1996988
3736,3/29/21,Illinois,5793846,2042458
3785,3/30/21,Illinois,5843688,2060967
3834,3/31/21,Illinois,5932882,2089452
13,1/12/21,Indiana,191844,23546
62,1/13/21,Indiana,211334,32040
111,1/14/21,Indiana,233488,
160,1/15/21,Indiana,260310,37683
209,1/16/21,Indiana,,
258,1/17/21,Indiana,,
307,1/18/21,Indiana,,
356,1/19/21,Indiana,334686,50862
405,1/20/21,Indiana,356385,58616
454,1/21/21,Indiana,387137,66801
503,1/22/21,Indiana,414127,73986
552,1/23/21,Indiana,446029,77985
601,1/24/21,Indiana,446029,77985
650,1/25/21,Indiana,491856,83554
699,1/26/21,Indiana,498824,84719
748,1/27/21,Indiana,524180,91255
797,1/28/21,Indiana,552144,97614
846,1/29/21,Indiana,581322,105208
895,1/30/21,Indiana,607185,111233
944,1/31/21,Indiana,607185,111233
993,2/1/21,Indiana,607185,111233
1042,2/2/21,Indiana,612289,112864
1091,2/3/21,Indiana,637745,120352
1140,2/4/21,Indiana,671191,129626
1189,2/5/21,Indiana,710888,142405
1238,2/6/21,Indiana,749771,156083
1287,2/7/21,Indiana,749771,156083
1336,2/8/21,Indiana,749771,156083
1385,2/9/21,Indiana,761070,161879
1434,2/10/21,Indiana,795702,177231
1483,2/11/21,Indiana,832031,194281
1532,2/12/21,Indiana,873568,213259
1581,2/13/21,Indiana,1018783,267774
1630,2/14/21,Indiana,1058874,287278
1679,2/15/21,Indiana,,
1728,2/16/21,Indiana,1091762,303183
1777,2/17/21,Indiana,1113413,313895
1826,2/18/21,Indiana,1125976,320425
1875,2/19/21,Indiana,1194094,350440
1924,2/20/21,Indiana,1234416,372868
1973,2/21/21,Indiana,1269839,393133
2022,2/22/21,Indiana,1292340,406193
2071,2/23/21,Indiana,1298877,409185
2120,2/24/21,Indiana,1361053,442984
2169,2/25/21,Indiana,1459296,497603
2218,2/26/21,Indiana,1505040,523102
2267,2/27/21,Indiana,1551945,547718
2316,2/28/21,Indiana,1590344,568523
2365,3/1/21,Indiana,1615149,582218
2414,3/2/21,Indiana,1624577,586294
2463,3/3/21,Indiana,1657664,604583
2512,3/4/21,Indiana,1697536,626952
2561,3/5/21,Indiana,1748623,652106
2610,3/6/21,Indiana,1800802,676716
2659,3/7/21,Indiana,1844669,696962
2708,3/8/21,Indiana,1879649,716718
2757,3/9/21,Indiana,1892845,724015
2806,3/10/21,Indiana,1934412,745011
2855,3/11/21,Indiana,1979075,765301
2904,3/12/21,Indiana,2030306,792015
2953,3/13/21,Indiana,2127154,837244
3002,3/14/21,Indiana,2127229,837398
3051,3/15/21,Indiana,2160312,854647
3100,3/16/21,Indiana,2170644,859950
3149,3/17/21,Indiana,2206988,875577
3198,3/18/21,Indiana,2252443,893151
3247,3/19/21,Indiana,2304432,913463
3296,3/20/21,Indiana,2360942,937926
3345,3/21/21,Indiana,2406866,956783
3394,3/22/21,Indiana,2437519,969665
3443,3/23/21,Indiana,2447336,974543
3492,3/24/21,Indiana,2488889,989857
3541,3/25/21,Indiana,2540707,1011271
3590,3/26/21,Indiana,2598661,1036624
3639,3/27/21,Indiana,2655132,1060159
3688,3/28/21,Indiana,2700392,1082231
3737,3/29/21,Indiana,2734813,1098306
3786,3/30/21,Indiana,2744163,1103261
3835,3/31/21,Indiana,2787166,1123914
14,1/12/21,Iowa,98691,6099
63,1/13/21,Iowa,112093,9603
112,1/14/21,Iowa,112093,
161,1/15/21,Iowa,120983,10742
210,1/16/21,Iowa,,
259,1/17/21,Iowa,,
308,1/18/21,Iowa,,
357,1/19/21,Iowa,144955,12629
406,1/20/21,Iowa,149850,13995
455,1/21/21,Iowa,158743,16860
504,1/22/21,Iowa,170607,22429
553,1/23/21,Iowa,180110,26426
602,1/24/21,Iowa,191183,30949
651,1/25/21,Iowa,196203,32149
700,1/26/21,Iowa,197982,32547
749,1/27/21,Iowa,204196,36067
798,1/28/21,Iowa,212497,40477
847,1/29/21,Iowa,224347,46785
896,1/30/21,Iowa,237874,52324
945,1/31/21,Iowa,252202,58367
994,2/1/21,Iowa,257468,60259
1043,2/2/21,Iowa,259522,61085
1092,2/3/21,Iowa,266777,64234
1141,2/4/21,Iowa,279252,69401
1190,2/5/21,Iowa,293377,74252
1239,2/6/21,Iowa,308527,80640
1288,2/7/21,Iowa,328412,87373
1337,2/8/21,Iowa,345350,89506
1386,2/9/21,Iowa,351803,90525
1435,2/10/21,Iowa,368759,95650
1484,2/11/21,Iowa,387370,99986
1533,2/12/21,Iowa,408578,104622
1582,2/13/21,Iowa,432473,109660
1631,2/14/21,Iowa,456512,115407
1680,2/15/21,Iowa,,
1729,2/16/21,Iowa,485710,119865
1778,2/17/21,Iowa,495487,122291
1827,2/18/21,Iowa,507650,124111
1876,2/19/21,Iowa,552706,134995
1925,2/20/21,Iowa,577374,141104
1974,2/21/21,Iowa,599489,147615
2023,2/22/21,Iowa,611188,152158
2072,2/23/21,Iowa,614928,153335
2121,2/24/21,Iowa,621717,155321
2170,2/25/21,Iowa,631160,157985
2219,2/26/21,Iowa,654074,163243
2268,2/27/21,Iowa,684596,169214
2317,2/28/21,Iowa,713054,178637
2366,3/1/21,Iowa,734845,188168
2415,3/2/21,Iowa,740713,190215
2464,3/3/21,Iowa,753860,196691
2513,3/4/21,Iowa,773314,206008
2562,3/5/21,Iowa,801113,219494
2611,3/6/21,Iowa,861247,253261
2660,3/7/21,Iowa,906470,274405
2709,3/8/21,Iowa,940050,304688
2758,3/9/21,Iowa,952377,313434
2807,3/10/21,Iowa,969877,323127
2856,3/11/21,Iowa,999390,339509
2905,3/12/21,Iowa,1034296,359687
2954,3/13/21,Iowa,1114523,407675
3003,3/14/21,Iowa,1114556,407760
3052,3/15/21,Iowa,1145079,423373
3101,3/16/21,Iowa,1155003,428963
3150,3/17/21,Iowa,1155384,429403
3199,3/18/21,Iowa,1182560,441682
3248,3/19/21,Iowa,1225964,464445
3297,3/20/21,Iowa,1265775,485885
3346,3/21/21,Iowa,1302395,503391
3395,3/22/21,Iowa,1324891,513482
3444,3/23/21,Iowa,1333747,517307
3493,3/24/21,Iowa,1346156,523340
3542,3/25/21,Iowa,1369302,530038
3591,3/26/21,Iowa,1402543,544454
3640,3/27/21,Iowa,1445223,562423
3689,3/28/21,Iowa,1488820,585741
3738,3/29/21,Iowa,1514487,598935
3787,3/30/21,Iowa,1525091,603095
3836,3/31/21,Iowa,1539664,610099
15,1/12/21,Kansas,78268,9577
64,1/13/21,Kansas,85650,12470
113,1/14/21,Kansas,91565,
162,1/15/21,Kansas,97779,13496
211,1/16/21,Kansas,,
260,1/17/21,Kansas,,
309,1/18/21,Kansas,,
358,1/19/21,Kansas,118434,15602
407,1/20/21,Kansas,122705,16013
456,1/21/21,Kansas,130434,17430
505,1/22/21,Kansas,137094,19325
554,1/23/21,Kansas,144909,20883
603,1/24/21,Kansas,151249,22610
652,1/25/21,Kansas,154719,23635
701,1/26/21,Kansas,158743,25349
750,1/27/21,Kansas,168392,26457
799,1/28/21,Kansas,190301,31429
848,1/29/21,Kansas,190540,31482
897,1/30/21,Kansas,206520,36738
946,1/31/21,Kansas,221469,39753
995,2/1/21,Kansas,226895,42297
1044,2/2/21,Kansas,231201,44420
1093,2/3/21,Kansas,241156,47394
1142,2/4/21,Kansas,251425,51322
1191,2/5/21,Kansas,263624,54834
1240,2/6/21,Kansas,280252,60203
1289,2/7/21,Kansas,296284,65559
1338,2/8/21,Kansas,303094,68565
1387,2/9/21,Kansas,305574,70115
1436,2/10/21,Kansas,319662,76561
1485,2/11/21,Kansas,332923,81948
1534,2/12/21,Kansas,350741,86597
1583,2/13/21,Kansas,367891,91577
1632,2/14/21,Kansas,389983,99392
1681,2/15/21,Kansas,,
1730,2/16/21,Kansas,397247,102601
1779,2/17/21,Kansas,405166,106249
1828,2/18/21,Kansas,417825,112651
1877,2/19/21,Kansas,466718,128614
1926,2/20/21,Kansas,488738,138765
1975,2/21/21,Kansas,509332,148378
2024,2/22/21,Kansas,514728,163500
2073,2/23/21,Kansas,517379,164873
2122,2/24/21,Kansas,530904,171637
2171,2/25/21,Kansas,542433,177877
2220,2/26/21,Kansas,560776,185731
2269,2/27/21,Kansas,583498,197648
2318,2/28/21,Kansas,609765,209331
2367,3/1/21,Kansas,620939,212327
2416,3/2/21,Kansas,629548,216606
2465,3/3/21,Kansas,644921,222809
2514,3/4/21,Kansas,661143,229206
2563,3/5/21,Kansas,683046,237853
2612,3/6/21,Kansas,707897,246974
2661,3/7/21,Kansas,734335,257534
2710,3/8/21,Kansas,742945,261951
2759,3/9/21,Kansas,751652,265215
2808,3/10/21,Kansas,769636,273211
2857,3/11/21,Kansas,796242,284796
2906,3/12/21,Kansas,847260,303570
2955,3/13/21,Kansas,850639,306140
3004,3/14/21,Kansas,900500,323386
3053,3/15/21,Kansas,909577,329299
3102,3/16/21,Kansas,917107,334212
3151,3/17/21,Kansas,931281,339940
3200,3/18/21,Kansas,959395,348321
3249,3/19/21,Kansas,997844,361435
3298,3/20/21,Kansas,1035916,373957
3347,3/21/21,Kansas,1072867,388360
3396,3/22/21,Kansas,1081274,393220
3445,3/23/21,Kansas,1088988,397845
3494,3/24/21,Kansas,1115858,410299
3543,3/25/21,Kansas,1140488,420310
3592,3/26/21,Kansas,1170671,431585
3641,3/27/21,Kansas,1217475,452500
3690,3/28/21,Kansas,1249912,471050
3739,3/29/21,Kansas,1261951,477019
3788,3/30/21,Kansas,1269292,481373
3837,3/31/21,Kansas,1290992,491016
16,1/12/21,Kentucky,132114,6335
65,1/13/21,Kentucky,142436,7725
114,1/14/21,Kentucky,155613,
163,1/15/21,Kentucky,174748,10672
212,1/16/21,Kentucky,,
261,1/17/21,Kentucky,,
310,1/18/21,Kentucky,,
359,1/19/21,Kentucky,216039,12911
408,1/20/21,Kentucky,223946,13829
457,1/21/21,Kentucky,235143,15699
506,1/22/21,Kentucky,254144,22568
555,1/23/21,Kentucky,270960,25566
604,1/24/21,Kentucky,299493,29346
653,1/25/21,Kentucky,307462,30010
702,1/26/21,Kentucky,312192,30633
751,1/27/21,Kentucky,323268,36054
800,1/28/21,Kentucky,342200,43142
849,1/29/21,Kentucky,366643,52251
898,1/30/21,Kentucky,386001,59367
947,1/31/21,Kentucky,404705,64890
996,2/1/21,Kentucky,415545,66077
1045,2/2/21,Kentucky,419562,66852
1094,2/3/21,Kentucky,435400,73264
1143,2/4/21,Kentucky,455783,81502
1192,2/5/21,Kentucky,483777,93651
1241,2/6/21,Kentucky,517168,108050
1290,2/7/21,Kentucky,548342,122785
1339,2/8/21,Kentucky,564682,127793
1388,2/9/21,Kentucky,568658,129862
1437,2/10/21,Kentucky,584947,139605
1486,2/11/21,Kentucky,608198,151297
1535,2/12/21,Kentucky,636518,165324
1584,2/13/21,Kentucky,649810,172518
1633,2/14/21,Kentucky,678768,187643
1682,2/15/21,Kentucky,,
1731,2/16/21,Kentucky,711588,198180
1780,2/17/21,Kentucky,719857,202064
1829,2/18/21,Kentucky,726168,205575
1878,2/19/21,Kentucky,779109,228157
1927,2/20/21,Kentucky,796952,236951
1976,2/21/21,Kentucky,824007,253857
2025,2/22/21,Kentucky,839508,267789
2074,2/23/21,Kentucky,851440,274244
2123,2/24/21,Kentucky,874840,285516
2172,2/25/21,Kentucky,907836,300918
2221,2/26/21,Kentucky,945168,316028
2270,2/27/21,Kentucky,980727,329060
2319,2/28/21,Kentucky,1020045,348731
2368,3/1/21,Kentucky,1046835,358604
2417,3/2/21,Kentucky,1061236,361821
2466,3/3/21,Kentucky,1082228,369729
2515,3/4/21,Kentucky,1117369,382469
2564,3/5/21,Kentucky,1162694,397436
2613,3/6/21,Kentucky,1209546,413054
2662,3/7/21,Kentucky,1254160,430613
2711,3/8/21,Kentucky,1283860,443361
2760,3/9/21,Kentucky,1293847,448228
2809,3/10/21,Kentucky,1318808,456204
2858,3/11/21,Kentucky,1357068,467334
2907,3/12/21,Kentucky,1401175,484809
2956,3/13/21,Kentucky,1492234,517761
3005,3/14/21,Kentucky,1496894,520049
3054,3/15/21,Kentucky,1532494,535241
3103,3/16/21,Kentucky,1547563,543741
3152,3/17/21,Kentucky,1582305,559194
3201,3/18/21,Kentucky,1619517,571138
3250,3/19/21,Kentucky,1668125,589338
3299,3/20/21,Kentucky,1713059,601427
3348,3/21/21,Kentucky,1762745,617681
3397,3/22/21,Kentucky,1797605,630399
3446,3/23/21,Kentucky,1813786,635620
3495,3/24/21,Kentucky,1838590,644909
3544,3/25/21,Kentucky,1876610,661734
3593,3/26/21,Kentucky,1924602,681481
3642,3/27/21,Kentucky,1976294,707589
3691,3/28/21,Kentucky,2019234,731464
3740,3/29/21,Kentucky,2058753,752613
3789,3/30/21,Kentucky,2074948,761804
3838,3/31/21,Kentucky,2100387,775208
17,1/12/21,Louisiana,142771,18314
66,1/13/21,Louisiana,156186,21634
115,1/14/21,Louisiana,175811,
164,1/15/21,Louisiana,197967,30416
213,1/16/21,Louisiana,,
262,1/17/21,Louisiana,,
311,1/18/21,Louisiana,,
360,1/19/21,Louisiana,255591,33967
409,1/20/21,Louisiana,264400,35049
458,1/21/21,Louisiana,279398,38095
507,1/22/21,Louisiana,297655,40385
556,1/23/21,Louisiana,315023,41788
605,1/24/21,Louisiana,334086,42520
654,1/25/21,Louisiana,341447,43151
703,1/26/21,Louisiana,345675,43189
752,1/27/21,Louisiana,358746,46954
801,1/28/21,Louisiana,375895,51583
850,1/29/21,Louisiana,398312,58132
899,1/30/21,Louisiana,420908,65136
948,1/31/21,Louisiana,443715,73436
997,2/1/21,Louisiana,463179,85872
1046,2/2/21,Louisiana,476014,96606
1095,2/3/21,Louisiana,488960,104070
1144,2/4/21,Louisiana,509982,115629
1193,2/5/21,Louisiana,536404,131355
1242,2/6/21,Louisiana,570731,150219
1291,2/7/21,Louisiana,599941,167576
1340,2/8/21,Louisiana,614041,176580
1389,2/9/21,Louisiana,619729,180112
1438,2/10/21,Louisiana,639019,189574
1487,2/11/21,Louisiana,639019,189574
1536,2/12/21,Louisiana,701110,217681
1585,2/13/21,Louisiana,735622,232766
1634,2/14/21,Louisiana,769155,248848
1683,2/15/21,Louisiana,,
1732,2/16/21,Louisiana,784976,255269
1781,2/17/21,Louisiana,791574,258404
1830,2/18/21,Louisiana,795511,259851
1879,2/19/21,Louisiana,859565,285057
1928,2/20/21,Louisiana,877683,293295
1977,2/21/21,Louisiana,894519,301923
2026,2/22/21,Louisiana,903226,302205
2075,2/23/21,Louisiana,907334,304651
2124,2/24/21,Louisiana,920794,312695
2173,2/25/21,Louisiana,943419,325913
2222,2/26/21,Louisiana,978234,343923
2271,2/27/21,Louisiana,1019381,361607
2320,2/28/21,Louisiana,1056975,374818
2369,3/1/21,Louisiana,1076576,379791
2418,3/2/21,Louisiana,1084499,381780
2467,3/3/21,Louisiana,1107626,389540
